lane,event,start_us,end_us,detail
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.295541,6240.297542,cycles 131170110..131170111 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.296541,6240.299542,cycles 131170111..131170113 (3 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.298542,6240.300542,cycles 131170113..131170114 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.299542,6240.301542,cycles 131170114..131170115 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.300542,6240.302542,cycles 131170115..131170116 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.301542,6240.303542,cycles 131170116..131170117 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.302542,6240.304543,cycles 131170117..131170118 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.303542,6240.305543,cycles 131170118..131170119 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.304543,6240.305543,cycles 131170119..131170119 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.304543,6273.798000,cycles 131170119..131203607 (33489 cyc)
"tile 0,3 core",ACTIVE,6273.797000,6273.808002,cycles 131203607..131203617 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6273.807001,6273.808002,cycles 131203617..131203617 (1 cyc)
"tile 0,3 core",ACTIVE,6273.807001,6273.858008,cycles 131203617..131203667 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6273.857008,6273.858008,cycles 131203667..131203667 (1 cyc)
"tile 0,3 core",ACTIVE,6273.857008,6273.868010,cycles 131203667..131203677 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6273.867009,6273.868010,cycles 131203677..131203677 (1 cyc)
"tile 0,3 core",ACTIVE,6273.867009,6273.917016,cycles 131203677..131203726 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6273.916016,6274.109042,cycles 131203726..131203918 (193 cyc)
"tile 0,3 core",ACTIVE,6274.108042,6274.119043,cycles 131203918..131203928 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6274.118043,6274.119043,cycles 131203928..131203928 (1 cyc)
"tile 0,3 core",ACTIVE,6274.118043,6274.169050,cycles 131203928..131203978 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6274.168050,6274.169050,cycles 131203978..131203978 (1 cyc)
